stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4711,0320,ТРЦ Кінг Кросс (320),"вул. Стрийська, 30",49.774093,24.012718
4712,0434,Іподром (434),вул. Стрийська 179,49.778119,24.014171
4713,0435,Сокільницька (435),"вул. Стрийська, 197",49.784229,24.014322
4714,433,Автовокзал (433),"вул. Стрийська, 109",49.787405,24.017618
4715,,Максимовича (432),"вул. Стрийська, 71",49.792621,24.016092
4693,0431,Гашека (431),"вул. Стрийська, 61",49.794712,24.016521
4691,0430,Скорини (430),"вул. Стрийська, 57",49.798002,24.017245
4614,553,Стрийська-Наукова (553),вул. Наукова,49.802078,24.017267
4615,552,Підстригача (552),"вул. Наукова, 148а",49.802385,24.014091
4616,539,Тролейбусна (539),"вул. Наукова, 12",49.803417,24.004875
4617,,Княгині Ольги (541),"30, Наукова вулиця, Франківський район, Львів, Львівська міська громада, Львівський район, Львівська область, 79060, Україна",49.803937,23.999572
4618,545,Центр зайнятості (545),"вул. Наукова, 62",49.804362,23.995203
4619,549,Клуб Науковий (549),"вул. Наукова, 64а",49.804714,23.991732
5124,,Симоненка (546),"вул. Наукова, 112",49.805456,23.985579
4620,533,Щирецька (533),"вул. Кульпарківська, 123",49.809356,23.982562
4716,0131,Скнилівок (131),"вул. І. Виговського, 89",49.812297,23.981942
4717,0130,Південний (130),"вул. Виговського, 69",49.813671,23.976856
4718,129,Скнилівський парк (129),"вул. Виговського, 47",49.816714,23.972350
4719,0128,Любінська-Виговського (128),"вул. Виговського, 41",49.819621,23.969861
44993,148,Любінська-Виговського (148),"вул. Любінська, 101",49.820916,23.969706
44994,0146,Караджича (146),"вул. Любінська, 91",49.822700,23.974504
4880,0156,Будинок меблів (156),"вул. Любінська (вул. Зоряна, 4)",49.824968,23.979067
4991,0554,Окружна (554),"вул. Окружна, 56",49.826623,23.983524
4701,,Кардіологічний центр (530),"вул. Кульпарківська, 35",49.831242,23.990782
4684,529,Кульпарківська (529),"вул. Кульпарківська, 3",49.834182,23.990906
4703,,Скриня (494),вул. Городоцька 175,49.835346,23.995090
44814,,Привокзальний ринок (749),"вул. Городоцька, 155",49.836125,23.999162
4628,18,Кропивницького (18),"вул. Городоцька, 98",49.837422,24.004907
4629,15,Цирк (15),"вул. Городоцька, 42",49.840197,24.012256
4630,16,Церква святої Анни (16),"вул. Городоцька, 67",49.841939,24.016604
4631,14,Наливайка (14),"вул. Городоцька, 27",49.843110,24.022197
5139,62,Площа Різні (62),"пл. Різні (вул. Лазнева, 3)",49.845557,24.025839
4632,7,Чорновола (7),"пр. В. Чорновола, 9",49.846839,24.025603
4633,615,Палац культури Гната Хоткевича (615),пр. В. Чорновола,49.851197,24.024374
4634,616,Хімічна (616),"пр. В. Чорновола, 22",49.854414,24.022958
4776,0597,Шевченківська РА (597),"вул. В. Липинського, 12",49.857499,24.023241
4777,0598,Замарстинівська (598),вул. В. Липинського 26,49.860559,24.027472
4788,0599,Бетховена (599),вул. В. Липинського 44,49.863678,24.033671
4779,0600,БТІ (600),вул. В. Липинського 54,49.864989,24.042442
4785,,Автостанція №2 (605),вул. В. Липинського (навпроти № 60),49.864954,24.051669
4677,0591,Автостанція №2 (591),"вул. Б. Хмельницького, 225",49.864118,24.052430
4678,0590,Радіоринок (590),вул. Б. Хмельницького 217,49.861909,24.050477
4679,,Височана (588),"вул. Б. Хмельницького, 201",49.858110,24.047269
4680,,Фабрика повидла (586),вул. Б. Хмельницького 173,49.855379,24.044974
4992,,Промислова (275),вул. Опришківська,49.853326,24.041267
4993,,Кордуби (265),"вул. М. Кордуби, 2",49.850851,24.044692
4988,,Кордуби (266),"вул. М. Кордуби, 2",49.850896,24.044464
4705,,Промислова (582),вул. Б. Хмельницького 106,49.853732,24.041782
4706,583,Фабрика повидла (583),"вул. Б. Хмельницького, 122",49.856197,24.045800
4707,0585,Височана (585),"вул. Б. Хмельницького, 158",49.858291,24.047576
4708,,Радіоринок (587),вул. Б. Хмельницького 176,49.862323,24.051003
4780,0601,Автостанція №2 (601),"вул. В. Липинського, 60",49.865131,24.050676
4786,,Миколайчука (607),вул. В. Липинського (перехрестя з вул. І. Миколайчука),49.865214,24.043638
4787,0604,БТІ (604),вул. В. Липинського (навпроти № 54),49.864920,24.040645
4778,603,Бетховена (603),вул. В. Липинського (навпроти № 36),49.863391,24.032652
4789,0602,Замарстинівська (602),"вул. В. Липинського (вул. Покутська, 1)",49.859650,24.026139
4574,609,Шевченківська РА (609),"пр. В. Чорновола, 12",49.855960,24.021875
4575,608,Хімічна (608),"пр. В. Чорновола, 49",49.854279,24.022765
4670,0006,Куліша (6),"пр. В. Чорновола, 41",49.849412,24.025209
5001,705,Проспект Чорновола (705),пр. В. Чорновола (перед перехрестям з вул. Ваговою),49.845524,24.025174
4878,0013,Магнус (13),вул. Городоцька 8,49.843935,24.024104
42793,679,Церква святої Анни (679),"вул. Т.  Шевченка, 4",49.842758,24.018262
4577,60,Захисників України (60),вул. Захисників України,49.842030,24.015512
4578,17,Цирк (17),"вул. Городоцька, 44",49.840280,24.012181
4579,94,Кропивницького (94),"вул. Городоцька, 94",49.837706,24.005567
4682,,Привокзальний ринок (110),вул. Городоцька (навпроти № 155),49.836381,23.999189
4683,,Скриня (113),вул. Городоцька (навпроти № 175),49.835592,23.994693
4702,535,Кульпарківська (535),"вул. Любінська, 4",49.833502,23.990831
45007,392,Кардіологічний центр (392),"вул. Кульпарківська, 42",49.829796,23.990310
45342,0707,Стадіон Сільмаш (707),"вул. Любінська, буд. Сулими, 1",49.829067,23.987162
4881,0536,Окружна (536),"вул. Любінська, 60",49.827376,23.983150
4882,0147,Будинок меблів (147),"вул. Любінська, 96",49.823965,23.976738
